date,turbine_id,min_power_mw,max_power_mw,avg_power_mw,sample_count
2022-03-28,2,1.6,4.5,2.86,24
2022-03-28,4,1.6,4.4,2.84,24
2022-03-26,3,1.6,4.4,2.73,24
2022-03-16,7,1.6,4.5,3.13,24
2022-03-24,5,1.5,4.3,3.21,24
2022-03-27,12,1.5,4.3,2.86,24
2022-03-14,10,1.5,4.5,3.06,24
2022-03-27,7,1.5,4.4,2.98,24
2022-03-27,13,1.5,4.5,2.97,24
2022-03-01,14,1.6,4.5,2.98,24
2022-03-02,7,1.6,4.3,3.02,24
2022-03-21,10,1.6,4.3,2.81,24
2022-03-16,8,2.2,4.5,3.24,24
2022-03-02,5,1.9,4.4,3.25,24
2022-03-02,14,1.8,4.4,2.93,24
2022-03-31,9,1.6,4.3,3.27,24
2022-03-21,5,1.6,4.2,2.72,24
2022-03-19,13,1.7,4.5,3.06,24
2022-03-11,3,1.6,4.4,3.03,24
2022-03-28,1,1.6,4.5,3.08,24
2022-03-08,1,1.7,4.5,3.29,24
2022-03-17,6,1.5,4.4,2.67,24
2022-03-30,7,1.8,4.4,3.25,24
2022-03-20,5,1.7,4.4,3.23,24
2022-03-20,11,2.1,4.5,3.35,24
2022-03-17,13,1.6,4.4,2.93,24
2022-03-28,11,1.6,4.4,3.02,24
2022-03-18,15,1.7,4.4,3.3,24
2022-03-30,1,1.5,4.4,3.05,24
2022-03-30,13,1.7,4.5,3.0,24
2022-03-04,2,1.7,4.4,3.01,24
2022-03-16,2,1.9,4.3,3.06,24
2022-03-16,1,1.6,4.4,2.98,24
2022-03-01,13,1.8,4.3,3.03,24
2022-03-09,6,1.5,4.5,2.82,24
2022-03-31,12,1.6,4.4,2.98,24
2022-03-16,3,1.8,4.3,2.9,24
2022-03-03,6,1.5,4.3,3.18,24
2022-03-02,9,1.6,4.3,2.74,24
2022-03-04,11,1.5,4.3,3.03,24
2022-03-19,14,1.5,4.5,3.13,24
2022-03-11,10,1.8,4.4,3.07,24
2022-03-24,14,1.7,4.4,3.28,24
2022-03-03,2,1.5,4.5,3.16,24
2022-03-20,14,1.6,4.4,3.19,24
2022-03-02,6,1.5,4.5,3.05,24
2022-03-20,7,1.8,4.5,3.0,24
2022-03-14,12,1.8,4.4,3.02,24
2022-03-29,12,1.7,4.3,3.19,24
2022-03-07,6,1.9,4.4,3.01,24
2022-03-16,14,1.6,4.5,3.25,24
2022-03-09,13,1.5,4.5,3.0,24
2022-03-24,12,1.6,4.4,3.17,24
2022-03-30,14,1.5,4.4,2.89,24
2022-03-17,5,1.6,4.4,2.91,24
2022-03-04,14,1.5,4.4,2.91,24
2022-03-05,4,1.7,4.5,2.84,24
2022-03-09,3,1.5,4.4,3.0,24
2022-03-30,11,1.7,4.3,3.16,24
2022-03-01,2,1.6,4.4,2.98,24
2022-03-26,15,1.7,4.5,3.14,24
2022-03-15,14,1.8,4.5,3.18,24
2022-03-24,6,1.6,4.5,3.25,24
2022-03-13,9,1.6,4.5,3.22,24
2022-03-22,7,1.5,4.3,3.13,24
2022-03-10,15,1.5,4.0,2.97,24
2022-03-17,9,1.5,4.5,3.24,24
2022-03-21,2,1.7,4.4,3.16,24
2022-03-19,15,1.5,4.3,2.71,24
2022-03-04,9,1.8,4.5,2.97,24
2022-03-12,13,1.6,4.5,3.04,24
2022-03-25,11,1.5,4.2,2.74,24
2022-03-29,11,1.5,4.4,2.75,24
2022-03-13,2,2.0,4.3,3.04,24
2022-03-29,9,1.6,4.1,2.57,24
2022-03-26,6,1.7,4.5,3.01,24
2022-03-10,11,1.6,4.1,2.81,24
2022-03-22,5,1.8,4.4,2.83,24
2022-03-03,13,1.6,4.4,2.95,24
2022-03-15,12,1.5,4.3,2.86,24
2022-03-03,9,1.6,4.4,2.98,24
2022-03-15,13,1.6,4.5,3.17,24
2022-03-27,10,1.5,4.4,3.21,24
2022-03-08,12,1.7,4.2,3.37,24
2022-03-14,7,1.6,4.5,3.12,24
2022-03-23,4,1.8,4.5,3.32,24
2022-03-23,6,1.5,4.5,3.29,24
2022-03-22,14,1.9,4.5,2.84,24
2022-03-24,11,1.8,4.3,3.15,24
2022-03-08,8,1.5,4.4,3.2,24
2022-03-17,1,1.6,4.4,3.02,24
2022-03-25,4,1.7,4.3,3.27,24
2022-03-24,13,1.6,4.0,2.66,24
2022-03-04,13,1.6,4.5,3.2,24
2022-03-25,10,1.5,4.5,3.14,24
2022-03-02,4,1.5,4.2,3.11,24
2022-03-10,1,1.7,4.3,3.12,24
2022-03-11,2,1.6,4.4,3.07,24
2022-03-13,3,1.6,4.4,2.98,24
2022-03-04,1,1.5,4.4,2.99,24
2022-03-15,4,1.5,4.5,3.05,24
2022-03-18,2,1.5,4.3,2.74,24
2022-03-29,10,1.6,4.4,3.22,24
2022-03-15,3,1.7,4.5,3.03,24
2022-03-09,15,1.5,4.5,3.0,24
2022-03-06,1,1.5,4.4,2.96,24
2022-03-10,4,1.9,4.4,3.19,24
2022-03-08,4,1.5,4.5,2.85,24
2022-03-11,11,1.6,4.1,2.89,24
2022-03-03,15,1.6,4.4,2.97,24
2022-03-11,6,1.6,4.2,3.06,24
2022-03-10,5,1.5,4.4,2.83,24
2022-03-09,4,1.8,4.4,2.87,24
2022-03-07,1,1.9,4.3,3.28,24
2022-03-22,9,1.5,4.4,2.91,24
2022-03-18,13,1.6,4.5,2.9,24
2022-03-26,10,2.0,4.3,2.92,24
2022-03-17,11,1.6,4.4,2.97,24
2022-03-26,5,1.6,4.1,2.99,24
2022-03-08,10,1.5,4.3,3.05,24
2022-03-01,15,2.0,4.5,3.37,24
2022-03-24,3,1.9,4.4,3.16,24
2022-03-12,2,1.6,4.5,3.02,24
2022-03-21,1,1.7,4.4,3.15,24
2022-03-07,15,1.5,4.4,3.05,24
2022-03-25,13,1.5,4.4,2.94,24
2022-03-31,13,1.6,4.5,3.3,24
2022-03-14,3,1.6,3.9,2.81,24
2022-03-05,7,1.7,4.5,2.7,24
2022-03-25,8,1.5,4.2,3.0,24
2022-03-15,6,1.9,4.5,3.17,24
2022-03-24,2,1.6,4.4,3.16,24
2022-03-24,4,1.6,4.5,3.03,24
2022-03-02,13,1.8,4.5,3.34,24
2022-03-31,2,1.6,4.4,3.23,24
2022-03-07,11,1.5,4.5,2.8,24
2022-03-05,1,1.6,4.3,3.25,24
2022-03-06,14,1.7,4.5,2.94,24
2022-03-31,4,1.7,4.4,3.03,24
2022-03-23,9,1.5,4.1,2.69,24
2022-03-16,4,1.6,4.4,2.87,24
2022-03-05,10,1.6,4.3,2.72,24
2022-03-23,3,1.5,4.2,2.8,24
2022-03-18,6,1.5,4.3,3.1,24
2022-03-10,8,1.6,4.4,3.25,24
2022-03-06,4,1.6,4.5,3.22,24
2022-03-15,15,1.6,4.5,3.17,24
2022-03-01,7,1.6,4.5,3.09,24
